CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
skmel30	15	0.9345879554748535	0.6416889028950192	0.7530674328889515	0.66172105	-0.4454262895850217
mg63	14	0.9346613883972168	0.5137886664259189	0.6315702868957843	0.5303889	-0.3326378074528057
bt20	16	0.9346688389778137	0.6995341060376119	0.8703662205156243	0.50459856	-0.44933442021005654
kyse520	16	0.9346762895584106	0.6449960616092305	0.7916153411461792	0.7362361	-0.495583679618629
a673	14	0.9346860647201538	0.7186735735726639	0.9421887280687489	0.524327	-0.2914077919414413
kelly	13	0.9347354769706726	0.43435466631245306	0.554134277206087	0.44925076	-0.1891561014742998
wm983b	15	0.9347411394119263	1.0772820790225361	1.2969818217571831	0.63939416	-1.0239760008193974
supt1	14	0.9347434639930725	0.4703448423317501	0.6283978553648862	0.7728428	-0.2969523373671941
shp77	15	0.9347496628761292	0.40786595849892265	0.5274293966525632	0.6992972	-0.08541206555032671
hs229t	15	0.9347545504570007	0.55232857161572	0.6139668321176979	0.42986968	-0.35288004256141
786o	15	0.9347659349441528	0.5388788151364087	0.7418748375678559	0.681374	-0.28265156466746355
t98g	15	0.9347726106643677	0.5973465487908082	0.6834357403911104	0.42770723	-0.39845593705623716
mfe319	13	0.9347929358482361	0.6782420814954316	0.9652184866817543	0.8126062	-0.6110511075533352
hs939t	15	0.9348259568214417	0.7242456737631336	0.8550906070972685	0.7361412	-0.6082489443690773
sw1271	15	0.9348289370536804	0.6689409969974804	0.8061187595571254	0.6797729	-0.6373251223891226
mkn45	16	0.9348516464233398	0.9761584331506645	1.2119708088201513	0.6874749	-0.7267933791782385
ku812	16	0.9348899722099304	0.9914809466814738	1.2719988656181627	0.6315076	-0.7468607796379882
mdamb436	15	0.9349324703216553	0.7013053452067352	0.7772171452745649	0.59415966	-0.443391334108373
tt2609c02	15	0.9349352121353149	0.996751924055263	1.1641555975429883	0.5987193	-0.8152031139958379
k029ax	16	0.934971034526825	0.7282974901450426	0.8983770589503199	0.42040995	-0.7282974901450426
snuc2a	14	0.9350021481513977	0.39084548342795605	0.4752072430659816	0.83743817	-0.15859897993859784
hdmyz	13	0.9350336194038391	0.9562447840342428	1.1481995271369092	0.56862587	-0.706683357229845
psn1	13	0.9350943565368652	0.5039747036430664	0.5736283762098494	0.5499876	-0.467863896503309
hep3b217	16	0.9351069927215576	0.5589966624365406	0.7152352894320829	0.541609	-0.1739040517355725
del	16	0.9351294636726379	0.9363558072242782	1.1679159003471493	0.6177167	-0.5662611508573883
hlf	16	0.9351541996002197	0.6132629417235069	0.7732419360047749	0.579333	-0.47888854920304497
hct116	16	0.9351581931114197	0.4837538879116377	0.6376102359729148	0.7964656	-0.46067559083302817
patu8902	13	0.9351598024368286	0.5931594962914595	0.7872089936771619	0.6156325	-0.04967840301706571
meg01	16	0.9351640939712524	0.8241720967723478	1.0689510903545512	0.7136789	-0.7520922310144822
8505c	16	0.9351776242256165	0.6615927034395652	0.8164487162625952	0.46134162	-0.6324669708736985
kmrc1	16	0.9351998567581177	0.5592028293704758	0.6451071830229961	0.60231835	-0.3841321824626489
lc1sqsf	15	0.9352366924285889	0.5429096639790719	0.6384673760715865	0.5723353	-0.2372961222868949
mhhes1	16	0.9352390170097351	1.0351210691383514	1.2597231129612654	0.560839	-1.0351210691383514
te9	15	0.9352895021438599	0.7200433333866154	0.8592776497992761	0.69916373	-0.550248800500636
igr39	16	0.9353296756744385	0.727048922732896	0.9278839157355101	0.695942	-0.13657150427718673
efe184	16	0.9353422522544861	0.6561848972424646	0.799968566275796	0.5805057	-0.30526755942436024
hs578t	15	0.9353522658348083	0.6166652411159445	0.8154651719322801	0.4389964	-0.09752495740018997
ls411n	13	0.935356616973877	0.6995572431270892	0.9454899132384103	0.84938633	-0.6477190538553093
mewo	16	0.9353613257408142	0.5630367614328861	0.7264262029458037	0.9148239	-0.05465395256876959
ht1376	16	0.9353837966918945	0.6572674699051246	0.7545920651295296	0.5447742	-0.40217346430939194
es2	14	0.9353838562965393	0.5088908138151174	0.6046460474388858	0.66248244	-0.48900697673802895
qgp1	13	0.9353910684585571	0.8325739914657289	1.0597692617629662	0.6607969	-0.7892353193674173
gb1	16	0.935413122177124	0.7117177339503369	0.8965409509189172	0.6178162	-0.6510144500863946
kyse150	13	0.9354149699211121	0.3910805748526839	0.47556413961210714	0.6423293	-0.11084302655081621
ht1080	14	0.9354704022407532	0.5377121995534335	0.6491844699916746	0.49224958	-0.5377121995534335
rerfgc1b	15	0.9355068206787109	0.5391735603494819	0.6001158960495125	0.51194376	-0.40565712766600454
pl45	16	0.9355167746543884	0.5088448622988561	0.6182972523754707	0.17823687	-0.4741712289821839
im95	15	0.9355183839797974	0.4943257747589209	0.6644258970895159	0.7350482	-0.4567761911717089
sw1088	14	0.9355199933052063	0.6598597943500157	0.7698883589843589	0.560008	-0.40290915573792596
dms114	15	0.9355635046958923	0.5378198014369282	0.6452855545357188	0.51579434	-0.46599061109135764
hs895t	15	0.9356036186218262	0.6406162378888456	0.8941014837779597	0.26342005	-0.20361023397121691
hmc18	16	0.9356040358543396	0.7351586013269644	0.9060460134921419	0.56804633	-0.6695648740130805
639v	16	0.9356130361557007	0.6721918150782584	0.9222262703952038	0.8620808	-0.23119325876235958
skco1	14	0.9356672167778015	0.8456488697059477	1.0631177634732147	0.58840716	-0.2677663329710956
